seed,projection,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,pcr_pearson,pcr_spearman,eff_rank,wall_clock_seconds
27,hybrid:50,4066,1064,31,8,0.28765,0.264494,-0.010625,0.107909,,222.6
27,bag:10,4066,1064,31,8,0.352138,0.336794,0.424948,0.410825,,229.6
28,pca,4065,1065,31,8,0.491832,0.482066,0.47742,0.464165,,117.1
28,pls,4065,1065,31,8,0.194429,0.19597,0.130376,0.135966,100,164.6
28,pls_mm,4065,1065,31,8,0.221601,0.223491,0.130376,0.135966,100,211.9
28,screen_pca:2000,4065,1065,31,8,0.456103,0.449577,0.451354,0.447505,,214.4
28,hybrid:50,4065,1065,31,8,0.37022,0.356121,0.042129,0.286568,,216.6
28,bag:10,4065,1065,31,8,0.479409,0.476209,0.494376,0.482231,,223.6
29,pca,4089,1041,31,8,0.413767,0.394577,0.434433,0.417084,,126.3
29,pls,4089,1041,31,8,0.345885,0.337913,0.285113,0.280522,100,173.3
29,pls_mm,4089,1041,31,8,0.363351,0.354291,0.285113,0.280522,100,223.7
29,screen_pca:2000,4089,1041,31,8,0.415093,0.403182,0.417933,0.399726,,226.4
29,hybrid:50,4089,1041,31,8,0.334805,0.321569,0.282013,0.269862,,228.7
29,bag:10,4089,1041,31,8,0.351235,0.330962,0.43576,0.418931,,235.7
30,pca,4055,1075,31,8,0.503894,0.495884,0.503658,0.499514,,117.7
30,pls,4055,1075,31,8,0.356861,0.357904,0.301102,0.300185,100,163.7
30,pls_mm,4055,1075,31,8,0.377674,0.375577,0.301102,0.300185,100,211.5
30,screen_pca:2000,4055,1075,31,8,0.402005,0.39916,0.404139,0.399742,,214.2
30,hybrid:50,4055,1075,31,8,0.357206,0.347688,-0.015004,0.237735,,216.4
30,bag:10,4055,1075,31,8,0.38772,0.377344,0.515121,0.509538,,223.6
31,pca,4052,1078,31,8,0.43874,0.436061,0.428389,0.430291,,122.9
31,pls,4052,1078,31,8,0.27216,0.27053,0.279139,0.236627,100,168.3
31,pls_mm,4052,1078,31,8,0.286355,0.281784,0.279139,0.236627,100,214.0
31,screen_pca:2000,4052,1078,31,8,0.419979,0.41663,0.401087,0.399736,,216.6
31,hybrid:50,4052,1078,31,8,0.42673,0.418658,-0.080323,0.230398,,218.7
31,bag:10,4052,1078,31,8,0.401418,0.402952,0.433743,0.434595,,226.3
32,pca,4005,1125,30,9,0.409273,0.388188,0.393036,0.367056,,120.7
32,pls,4005,1125,30,9,0.295662,0.306926,0.270767,0.276412,100,165.6
32,pls_mm,4005,1125,30,9,0.319739,0.3295,0.270767,0.276412,100,210.6
32,screen_pca:2000,4005,1125,30,9,0.421431,0.409807,0.426436,0.413306,,213.0
32,hybrid:50,4005,1125,30,9,0.33583,0.321337,0.331719,0.315146,,215.0
32,bag:10,4005,1125,30,9,0.380384,0.361864,0.412056,0.388783,,222.1
33,pca,4016,1114,30,9,0.454836,0.44886,0.469712,0.455567,,120.9
33,pls,4016,1114,30,9,0.360895,0.368791,0.428592,0.405876,100,166.0
33,pls_mm,4016,1114,30,9,0.428876,0.434053,0.428592,0.405876,100,210.6
33,screen_pca:2000,4016,1114,30,9,0.444297,0.431725,0.45797,0.442017,,213.0
33,hybrid:50,4016,1114,30,9,0.296484,0.296661,0.398425,0.406341,,215.1
33,bag:10,4016,1114,30,9,0.374356,0.361081,0.47504,0.467974,,221.6
34,pca,4075,1055,31,8,0.363578,0.335792,0.408968,0.379618,,122.9
34,pls,4075,1055,31,8,0.34639,0.341776,0.360638,0.337589,100,168.5
34,pls_mm,4075,1055,31,8,0.367734,0.358033,0.360638,0.337589,100,216.9
34,screen_pca:2000,4075,1055,31,8,0.399219,0.373224,0.416094,0.398549,,219.8
34,hybrid:50,4075,1055,31,8,0.261329,0.239451,0.241693,0.2308,,222.8
34,bag:10,4075,1055,31,8,0.283857,0.257517,0.389828,0.363666,,230.2
35,pca,4064,1066,31,8,0.409166,0.406274,0.466368,0.460555,,118.7
35,pls,4064,1066,31,8,0.361888,0.368909,0.35877,0.343108,100,164.5
35,pls_mm,4064,1066,31,8,0.378786,0.383893,0.35877,0.343108,100,212.6
35,screen_pca:2000,4064,1066,31,8,0.402256,0.39556,0.441482,0.438037,,215.3
35,hybrid:50,4064,1066,31,8,0.294662,0.279855,0.321412,0.311569,,217.7
35,bag:10,4064,1066,31,8,0.381138,0.36658,0.445788,0.440374,,226.1
36,pca,4069,1061,31,8,0.293168,0.281716,0.307644,0.292375,,116.6
36,pls,4069,1061,31,8,0.371269,0.369879,0.372184,0.364942,100,162.3
36,pls_mm,4069,1061,31,8,0.378464,0.375907,0.372184,0.364942,100,209.6
36,screen_pca:2000,4069,1061,31,8,0.348356,0.326944,0.373091,0.351354,,212.1
36,hybrid:50,4069,1061,31,8,0.116488,0.105303,0.021636,0.14375,,214.2
36,bag:10,4069,1061,31,8,0.215303,0.19638,0.27993,0.264991,,221.6
37,pca,4066,1064,31,8,0.405253,0.378979,0.421099,0.401737,,117.9
37,pls,4066,1064,31,8,0.329216,0.325555,0.292241,0.290201,100,165.7
37,pls_mm,4066,1064,31,8,0.357354,0.349477,0.292241,0.290201,100,212.9
37,screen_pca:2000,4066,1064,31,8,0.444734,0.422016,0.475665,0.459661,,215.5
37,hybrid:50,4066,1064,31,8,0.321873,0.284768,-0.073841,0.216371,,217.9
37,bag:10,4066,1064,31,8,0.404811,0.386629,0.426304,0.405706,,225.2
38,pca,4040,1090,31,8,0.454172,0.442743,0.459214,0.445744,,119.3
38,pls,4040,1090,31,8,0.350414,0.3458,0.297126,0.302694,100,164.3
38,pls_mm,4040,1090,31,8,0.390136,0.38526,0.297126,0.302694,100,213.1
38,screen_pca:2000,4040,1090,31,8,0.434375,0.411021,0.444469,0.413324,,215.9
38,hybrid:50,4040,1090,31,8,0.317813,0.295282,-0.045651,0.209005,,218.3
38,bag:10,4040,1090,31,8,0.378416,0.381121,0.485569,0.467875,,225.5
39,pca,4039,1091,31,8,0.372846,0.361773,0.384068,0.373117,,119.2
39,pls,4039,1091,31,8,0.293964,0.287172,0.291095,0.28047,100,165.8
39,pls_mm,4039,1091,31,8,0.312858,0.306093,0.291095,0.28047,100,211.5
